,Nome do algoritmo,Tamanho entrada,Tipo array,atributo,Valor
157,cartesian tree,10000,Ordem crescente,Número de comparações,9999.0
158,cartesian tree,10000,Ordem crescente,Número de escritas,0.0
159,cartesian tree,10000,Ordem crescente,Tamánho,10000.0
160,cartesian tree,10000,Ordem decrescente,Tempo de execução,0.03971769999952812
161,cartesian tree,10000,Ordem decrescente,Número de comparações,9999.0
162,cartesian tree,10000,Ordem decrescente,Número de escritas,0.0
163,cartesian tree,10000,Ordem decrescente,Tamánho,10000.0
164,cartesian tree,10000,Desordenado,Tempo de execução,18.858939100000498
165,cartesian tree,10000,Desordenado,Número de comparações,16538190.0
166,cartesian tree,10000,Desordenado,Número de escritas,0.0
167,cartesian tree,10000,Desordenado,Tamánho,10000.0
